time,group,numsprays,area,numcolonies,avgarea
301231.0,B,0,32272.0,1,32272.0
301231.0,B,3,13997.5,92,152.14673913043478
301231.0,A,3,9323.5,101,92.31188118811882
301231.0,B,9,6524.5,36,181.23611111111111
301231.0,A,9,7831.5,52,150.60576923076923
303033.0,B,6,12652.0,78,162.2051282051282
303033.0,A,6,0,0,0
303033.0,A,0,25496.0,2,12748.0
303033.0,B,0,33059.5,1,33059.5
303033.0,B,3,14283.5,97,147.25257731958763
303033.0,A,3,8356.5,84,99.48214285714286
303033.0,B,9,6658.0,40,166.45
303033.0,A,9,7450.5,49,152.05102040816325
304835.0,B,6,14075.0,80,175.9375
304835.0,A,6,0,0,0
304835.0,A,0,25299.0,1,25299.0
304835.0,B,0,32392.5,1,32392.5
304835.0,B,3,14573.5,85,171.45294117647057
304835.0,A,3,13701.0,93,147.32258064516128
304835.0,B,9,7062.5,39,181.0897435897436
304835.0,A,9,7995.0,44,181.70454545454547
306636.0,B,6,13452.0,74,181.78378378378378
306636.0,A,6,0,0,0
306636.0,A,0,25739.5,1,25739.5
306636.0,B,0,33230.0,2,16615.0
306636.0,B,3,14129.5,91,155.26923076923077
306636.0,A,3,8687.0,79,109.9620253164557
306636.0,B,9,6559.5,35,187.4142857142857
306636.0,A,9,8192.5,52,157.54807692307693
308438.0,B,6,13166.0,73,180.35616438356163
308438.0,A,6,0,0,0
308438.0,A,0,25648.0,1,25648.0
308438.0,B,0,33543.5,1,33543.5
308438.0,B,3,14743.5,90,163.81666666666666
308438.0,A,3,8801.5,85,103.54705882352941
308438.0,B,9,6965.5,37,188.25675675675674
308438.0,A,9,7768.5,51,152.3235294117647
310240.0,B,6,14367.0,66,217.6818181818182
310240.0,A,6,0,0,0
310240.0,A,0,26379.0,1,26379.0
310240.0,B,0,32178.5,1,32178.5
310240.0,B,3,15239.5,92,165.64673913043478
310240.0,A,3,14518.5,94,154.45212765957447
310240.0,B,9,6984.0,36,194.0
310240.0,A,9,8400.5,45,186.67777777777778
312041.0,B,6,13482.0,69,195.3913043478261
312041.0,A,6,0,0,0
312041.0,A,0,24844.0,1,24844.0
